filename,orientation,si_axis_true,axis_mismatch,recorded_shape_z,true_shape_z,recorded_extent_z_mm,true_extent_z_mm,recorded_fov,true_fov
20251028117-1.nii.gz,LPS,2,False,105,105,530.0481,530.0481,extended,extended
20251028118-1.nii.gz,LPI,2,False,99,99,495.0,495.0,extended,extended
20251028119-1.nii.gz,LIP,1,True,45,758,225.0,525.26965,abdomen-only,extended
20251028121-1.nii.gz,LAS,2,False,44,44,220.0,220.0,abdomen-only,abdomen-only
20251028122-1.nii.gz,LPS,2,False,31,31,155.0,155.0,abdomen-only,abdomen-only
20251028125-1.nii.gz,LIP,1,True,41,512,205.0,494.23282,abdomen-only,extended
20251028126-1.nii.gz,LIP,1,True,43,664,215.0,464.8,abdomen-only,extended
20251028129-1.nii.gz,LAS,2,False,111,111,555.0,555.0,extended,extended
20251028130-1.nii.gz,LPS,2,False,87,87,435.0,435.0,extended,extended
20251028131-1.nii.gz,LPS,2,False,105,105,525.0,525.0,extended,extended
20251028133-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028134-1.nii.gz,LAS,2,False,110,110,550.0,550.0,extended,extended
20251028136-1.nii.gz,LPI,2,False,108,108,540.0,540.0,extended,extended
20251028138-1.nii.gz,LPI,2,False,93,93,465.0,465.0,extended,extended
20251028141-1.nii.gz,LPI,2,False,109,109,545.0,545.0,extended,extended
20251028144-1.nii.gz,LPI,2,False,110,110,550.0,550.0,extended,extended
20251028145-1.nii.gz,LAS,2,False,115,115,575.0,575.0,extended,extended
20251028147-1.nii.gz,LIP,1,True,49,512,245.0,524.5735,abdomen-only,extended
20251028150-1.nii.gz,LAS,2,False,97,97,485.0,485.0,extended,extended
20251028151-1.nii.gz,LPI,2,False,113,113,565.0,565.0,extended,extended
20251028152-1.nii.gz,LIP,1,True,50,720,250.0,504.69998,abdomen-only,extended
20251028153-1.nii.gz,LPS,2,False,35,35,175.0,175.0,abdomen-only,abdomen-only
20251028155-1.nii.gz,LPS,2,False,105,105,525.0,525.0,extended,extended
20251028156-1.nii.gz,LPS,2,False,59,59,295.0,295.0,abdomen-only,abdomen-only
20251028158-1.nii.gz,LAS,2,False,102,102,510.0,510.0,extended,extended
20251028159-1.nii.gz,LIP,1,True,39,672,195.0,459.19995,abdomen-only,extended
20251028162-1.nii.gz,LPS,2,False,112,112,560.0,560.0,extended,extended
20251028166-1.nii.gz,LIP,1,True,39,788,195.0,534.2351,abdomen-only,extended
20251028167-1.nii.gz,LIP,1,True,45,722,225.0,505.9609,abdomen-only,extended
20251028168-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028170-1.nii.gz,LIP,1,True,44,802,220.0,509.60004,abdomen-only,extended
20251028172-1.nii.gz,LPS,2,False,105,105,525.0,525.0,extended,extended
20251028173-1.nii.gz,LAS,2,False,98,98,490.0,490.0,extended,extended
20251028175-1.nii.gz,LIP,1,True,47,512,235.0,494.23285,abdomen-only,extended
20251028177-1.nii.gz,LPS,2,False,127,127,635.0,635.0,extended,extended
20251028178-1.nii.gz,LIP,1,True,50,512,250.0,509.40314,abdomen-only,extended
20251028180-1.nii.gz,LPI,2,False,103,103,525.098,525.098,extended,extended
20251028183-1.nii.gz,LPS,2,False,87,87,435.0,435.0,extended,extended
20251028184-1.nii.gz,LPS,2,False,82,82,410.0,410.0,extended,extended
20251028186-1.nii.gz,LPI,2,False,92,92,460.0,460.0,extended,extended
20251028187-1.nii.gz,LIP,1,True,45,512,225.0,474.2719,abdomen-only,extended
20251028188-1.nii.gz,LPS,2,False,127,127,635.0,635.0,extended,extended
20251028190-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028191-1.nii.gz,LIP,1,True,45,512,225.0,564.49536,abdomen-only,extended
20251028192-1.nii.gz,LAS,2,False,105,105,525.0,525.0,extended,extended
20251028194-1.nii.gz,LPS,2,False,85,85,425.0,425.0,extended,extended
20251028195-1.nii.gz,LPS,2,False,89,89,445.0,445.0,extended,extended
20251028196-1.nii.gz,LAS,2,False,98,98,490.0,490.0,extended,extended
20251028198-1.nii.gz,LPS,2,False,41,41,205.0,205.0,abdomen-only,abdomen-only
20251028199-1.nii.gz,LPS,2,False,96,96,480.0,480.0,extended,extended
20251028200-1.nii.gz,LPS,2,False,122,122,610.0,610.0,extended,extended
20251028202-1.nii.gz,LAS,2,False,112,112,560.0,560.0,extended,extended
20251028203-1.nii.gz,LPS,2,False,96,96,480.0,480.0,extended,extended
20251028205-1.nii.gz,LIP,1,True,62,730,310.0,584.8,abdomen-only,extended
20251028210-1.nii.gz,LIP,1,True,45,512,225.0,539.7438,abdomen-only,extended
20251028213-1.nii.gz,LPS,2,False,105,105,525.0,525.0,extended,extended
20251028214-1.nii.gz,LPI,2,False,93,93,465.0,465.0,extended,extended
